jst,bid,ask,volume,volume_real,flags
2025-06-18 00:00:41.228000+09:00,73.345,73.399,0,0.0,1154
2025-06-18 00:00:41.529000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:00:41.630000+09:00,73.335,73.389,0,0.0,1028
2025-06-18 00:00:41.730000+09:00,73.335,73.399,0,0.0,1028
2025-06-18 00:00:41.830000+09:00,73.345,73.409,0,0.0,1158
2025-06-18 00:00:42.734000+09:00,73.345,73.399,0,0.0,1028
2025-06-18 00:00:43.439000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:00:43.841000+09:00,73.345,73.399,0,0.0,1154
2025-06-18 00:00:43.940000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:00:45.950000+09:00,73.345,73.399,0,0.0,1154
2025-06-18 00:00:46.050000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:00:48.158000+09:00,73.325,73.389,0,0.0,1158
2025-06-18 00:00:49.359000+09:00,73.325,73.379,0,0.0,1028
2025-06-18 00:00:49.561000+09:00,73.325,73.389,0,0.0,1028
2025-06-18 00:00:49.660000+09:00,73.325,73.379,0,0.0,1028
2025-06-18 00:00:50.464000+09:00,73.345,73.409,0,0.0,1158
2025-06-18 00:00:50.763000+09:00,73.345,73.399,0,0.0,1028
2025-06-18 00:00:50.863000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:00:51.765000+09:00,73.335,73.389,0,0.0,1028
2025-06-18 00:00:52.269000+09:00,73.325,73.389,0,0.0,1154
2025-06-18 00:00:52.368000+09:00,73.335,73.389,0,0.0,1154
2025-06-18 00:00:52.570000+09:00,73.325,73.389,0,0.0,1154
2025-06-18 00:00:53.670000+09:00,73.335,73.389,0,0.0,1154
2025-06-18 00:00:55.273000+09:00,73.315,73.369,0,0.0,1158
2025-06-18 00:00:55.674000+09:00,73.315,73.379,0,0.0,1028
2025-06-18 00:00:56.277000+09:00,73.325,73.389,0,0.0,1158
2025-06-18 00:00:56.776000+09:00,73.325,73.379,0,0.0,1028
2025-06-18 00:00:57.377000+09:00,73.345,73.399,0,0.0,1158
2025-06-18 00:00:57.477000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:00:57.575000+09:00,73.345,73.399,0,0.0,1154
2025-06-18 00:00:58.277000+09:00,73.335,73.399,0,0.0,1154
2025-06-18 00:00:58.776000+09:00,73.335,73.389,0,0.0,1028
2025-06-18 00:00:58.979000+09:00,73.325,73.379,0,0.0,1158
2025-06-18 00:00:59.178000+09:00,73.325,73.389,0,0.0,1028
2025-06-18 00:00:59.781000+09:00,73.325,73.379,0,0.0,1028
2025-06-18 00:00:59.983000+09:00,73.315,73.379,0,0.0,1154
2025-06-18 00:01:00.282000+09:00,73.325,73.379,0,0.0,1154
2025-06-18 00:01:00.583000+09:00,73.315,73.379,0,0.0,1154
2025-06-18 00:01:00.883000+09:00,73.325,73.389,0,0.0,1158
2025-06-18 00:01:00.982000+09:00,73.335,73.399,0,0.0,1158
2025-06-18 00:01:01.783000+09:00,73.345,73.399,0,0.0,1154
2025-06-18 00:01:01.883000+09:00,73.365,73.419,0,0.0,1158
2025-06-18 00:01:01.981000+09:00,73.365,73.429,0,0.0,1028
2025-06-18 00:01:02.083000+09:00,73.375,73.429,0,0.0,1154
2025-06-18 00:01:02.783000+09:00,73.365,73.429,0,0.0,1154
2025-06-18 00:01:02.983000+09:00,73.375,73.429,0,0.0,1154
2025-06-18 00:01:05.486000+09:00,73.365,73.429,0,0.0,1154
2025-06-18 00:01:05.785000+09:00,73.375,73.429,0,0.0,1154
2025-06-18 00:01:05.886000+09:00,73.365,73.429,0,0.0,1154
2025-06-18 00:01:06.886000+09:00,73.355,73.419,0,0.0,1158
2025-06-18 00:01:07.585000+09:00,73.375,73.429,0,0.0,1158
2025-06-18 00:01:07.686000+09:00,73.375,73.439,0,0.0,1028
2025-06-18 00:01:07.886000+09:00,73.375,73.429,0,0.0,1028
2025-06-18 00:01:08.188000+09:00,73.355,73.419,0,0.0,1158
2025-06-18 00:01:08.688000+09:00,73.375,73.429,0,0.0,1158
2025-06-18 00:01:09.993000+09:00,73.355,73.419,0,0.0,1158
2025-06-18 00:01:10.493000+09:00,73.365,73.419,0,0.0,1154
2025-06-18 00:01:10.993000+09:00,73.375,73.429,0,0.0,1158
2025-06-18 00:01:11.093000+09:00,73.375,73.439,0,0.0,1028
2025-06-18 00:01:11.292000+09:00,73.385,73.439,0,0.0,1154
2025-06-18 00:01:11.694000+09:00,73.375,73.439,0,0.0,1154
2025-06-18 00:01:12.096000+09:00,73.385,73.439,0,0.0,1154
2025-06-18 00:01:12.396000+09:00,73.375,73.439,0,0.0,1154
2025-06-18 00:01:12.800000+09:00,73.385,73.439,0,0.0,1154
2025-06-18 00:01:12.896000+09:00,73.385,73.449,0,0.0,1028
2025-06-18 00:01:13.796000+09:00,73.385,73.439,0,0.0,1028
2025-06-18 00:01:14.695000+09:00,73.385,73.449,0,0.0,1028
2025-06-18 00:01:14.795000+09:00,73.375,73.439,0,0.0,1158
2025-06-18 00:01:15.097000+09:00,73.375,73.429,0,0.0,1028
2025-06-18 00:01:15.396000+09:00,73.345,73.399,0,0.0,1158
2025-06-18 00:01:15.496000+09:00,73.345,73.409,0,0.0,1028
2025-06-18 00:01:15.795000+09:00,73.355,73.409,0,0.0,1154
2025-06-18 00:01:16.497000+09:00,73.315,73.369,0,0.0,1158
2025-06-18 00:01:16.597000+09:00,73.315,73.379,0,0.0,1028
2025-06-18 00:01:16.696000+09:00,73.325,73.379,0,0.0,1154
2025-06-18 00:01:16.998000+09:00,73.315,73.379,0,0.0,1154
2025-06-18 00:01:17.200000+09:00,73.315,73.369,0,0.0,1028
2025-06-18 00:01:17.400000+09:00,73.305,73.369,0,0.0,1154
2025-06-18 00:01:17.600000+09:00,73.315,73.369,0,0.0,1154
2025-06-18 00:01:17.699000+09:00,73.305,73.359,0,0.0,1158
2025-06-18 00:01:18.001000+09:00,73.295,73.349,0,0.0,1158
2025-06-18 00:01:18.101000+09:00,73.295,73.359,0,0.0,1028
2025-06-18 00:01:18.801000+09:00,73.305,73.359,0,0.0,1154
2025-06-18 00:01:19.103000+09:00,73.285,73.339,0,0.0,1158
2025-06-18 00:01:19.303000+09:00,73.295,73.349,0,0.0,1158
2025-06-18 00:01:19.402000+09:00,73.305,73.359,0,0.0,1158
2025-06-18 00:01:19.601000+09:00,73.295,73.359,0,0.0,1154
2025-06-18 00:01:20.002000+09:00,73.305,73.359,0,0.0,1154
2025-06-18 00:01:21.003000+09:00,73.305,73.369,0,0.0,1028
2025-06-18 00:01:21.203000+09:00,73.295,73.359,0,0.0,1158
2025-06-18 00:01:21.504000+09:00,73.295,73.349,0,0.0,1028
2025-06-18 00:01:21.604000+09:00,73.295,73.359,0,0.0,1028
2025-06-18 00:01:22.106000+09:00,73.305,73.359,0,0.0,1154
2025-06-18 00:01:22.305000+09:00,73.295,73.359,0,0.0,1154
2025-06-18 00:01:22.407000+09:00,73.305,73.359,0,0.0,1154
2025-06-18 00:01:22.607000+09:00,73.295,73.359,0,0.0,1154
2025-06-18 00:01:22.908000+09:00,73.305,73.359,0,0.0,1154
2025-06-18 00:01:23.008000+09:00,73.295,73.359,0,0.0,1154
2025-06-18 00:01:23.308000+09:00,73.305,73.359,0,0.0,1154
2025-06-18 00:01:24.010000+09:00,73.305,73.369,0,0.0,1028
2025-06-18 00:01:24.212000+09:00,73.315,73.369,0,0.0,1154
2025-06-18 00:01:24.311000+09:00,73.305,73.369,0,0.0,1154
2025-06-18 00:01:24.911000+09:00,73.315,73.369,0,0.0,1154
2025-06-18 00:01:25.411000+09:00,73.325,73.379,0,0.0,1158
2025-06-18 00:01:26.014000+09:00,73.315,73.379,0,0.0,1154
2025-06-18 00:01:26.115000+09:00,73.325,73.389,0,0.0,1158
